END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
0,Ажиллаж байгаа,ажиллаж байгаа
0,Одоо ажиллаж байна,ажиллаж байгаа
10,Түр орон тоон дээр ажилласан,хүний оронд түр ажиллаж байсан
0,ажиллаж байгаа,ажиллаж байгаа
0,одоо ажиллаж байгаа,ажиллаж байгаа
0,одоог хүртэл ажиллаж байгаа,ажиллаж байгаа
0,чөлөөлөгдээгүй,ажиллаж байгаа
9,Өөр ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
10,1 жилийн хугацаагаар,хүний оронд түр ажиллаж байсан
9,1-Р цэцэрлэгт шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
9,1-р сургуульд хөгжмийн багшаар ажлах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
9,1-р сургуульд шилжин ажиллах шалтгаанаар,нутаг дотроо шилжин ажиллахаар болсон
9,1-р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,1-р цэцэрлэгт арга зүйчээр орсон,нутаг дотроо шилжин ажиллахаар болсон
9,10 дугаар цэцэрлэгт ажилд орохоор болсон,нутаг дотроо шилжин ажиллахаар болсон
9,10-р сургууль руу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,10-р цэцэрлэгт орсон,нутаг дотроо шилжин ажиллахаар болсон
13,132 цэцэрлэг эрхлэгчээр шилжсэн,дэвшин ажиллахаар
9,133-р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,138 цэцэрлэг эрхлэгчээр томилогдсон,нутаг дотроо шилжин ажиллахаар болсон
9,138 эрхлэгчээр,нутаг дотроо шилжин ажиллахаар болсон
9,14-р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,14-р цэцэрлэгт арга зүйчээр ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
13,142-р сургуульд бага боловсролын сургалтын менежер,дэвшин ажиллахаар
4,18-р цэцэрлэг буулгасан,халагдсан
13,186 дугаар тусгай цэцэрлэгт 2020.01.03 наас арга зүйч хийх болсон тул,дэвшин ажиллахаар
9,194цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
6,1984-1988 Багшийн сургуульд мэргэжил дээшлүүлж суралцсан,мэргэжил дээшлүүлэхээр
1,"2012,09,04-ний ажилласан жил тэтгэврийн даатгалын шимтгэлийг нөхөн тооцох тухай хууль",тэтгэвэрт гарсан
13,205 цэцэрлэгийн эрхлэгчээр тушаал дэвшссэн,дэвшин ажиллахаар
9,21 сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,22-р цэцэрлэгт шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
9,225- р цэцэрлэгт ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,23р сургуульд ажиллах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
9,241 дүгээр цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,241 цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
13,241 цэцэрлэг нярав,дэвшин ажиллахаар
13,241 цэцэрлэг эрхлэгч,дэвшин ажиллахаар
9,241- р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,241-р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
13,245 дугаар цэцэрлэгт арга зүйч хийхээр,дэвшин ажиллахаар
9,26-р цэцэрлэгт багшаар явсан,нутаг дотроо шилжин ажиллахаар болсон
9,3 дугаар сургууль ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
1,3 жилийн тэтгэмж авч гарсан.,тэтгэвэрт гарсан
4,3-р сургууль татан буугдсан,халагдсан
13,306-р цэцэрлэгт эрхлэгчээр,дэвшин ажиллахаар
4,4-р сургууль татан буугдсан тул нэр олдоогүй.,халагдсан
11,4-р цэцэрлэгийн эрхлэгчээр хавсран ажиллаж байсан чөлөөлүүлэх хүсэлт гаргасан,өөрийн хүсэлтээр
9,49-р  шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,50-р цэцэлэг,нутаг дотроо шилжин ажиллахаар болсон
13,53-р цэцэрлэгт арга зүйчээр ажиллах болсон тул,дэвшин ажиллахаар
9,5р цэцэрлэгт урилгаар шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,6-н настай 1-р ангийн багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
9,6-р  цэцэрлэгт ажилд  орсон,нутаг дотроо шилжин ажиллахаар болсон
9,"6-р цэцэрлэгийн ""О"" бүлэгт ажиллахаар",нутаг дотроо шилжин ажиллахаар болсон
9,62-р сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
13,62-р цэцэрлэгрүү Эрхлэгчээр шилжсэн.,дэвшин ажиллахаар
13,7-р цэцэрлэгт арга зүйчээр,дэвшин ажиллахаар
9,7-р цэцэрлэгт багш,нутаг дотроо шилжин ажиллахаар болсон
9,76р сургуульд багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
9,"8 дугаар сургуулийн бага ангийн багш сонгон шалгаруулалтад орж, тэнцсэн. Бага ангийн багшаар ажиллах болсон.",нутаг дотроо шилжин ажиллахаар болсон
9,83-р цэцэрлэгт багшаар ирсэн,нутаг дотроо шилжин ажиллахаар болсон
9,85-Р ЦЭЦЭРЛЭГТ ШИЛЖИН АЖИЛЛАСАН.,нутаг дотроо шилжин ажиллахаар болсон
13,88-р цэцэрлэгт арга зүйч,дэвшин ажиллахаар
9,9-р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
3,Covid 19,эрүүл мэндийн улмаас
11,uuriin huselteer,өөрийн хүсэлтээр
13,АЛБАН ТУШААЛЫН ӨӨРЧЛӨЛТ,дэвшин ажиллахаар
0,АМРАЛТАА АВСАН,ажиллаж байгаа
7,АНУ руу явсан,гадаад улс руу шилжин ажиллахаар болсон
6,АНУ улс руу мэргэжил дээшлүүлэхээр гэр бүлээрэй явсан,мэргэжил дээшлүүлэхээр
7,АНУ-руу хувийн шугамаар ажил хийхээр,гадаад улс руу шилжин ажиллахаар болсон
5,АР ГЭРИЙН ГАЧИГДАЛ,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Аавыгаа асарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Аавыгаа эмчилгээнд гадаадруу авч явах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Аавын эрүүл мэндийн шалтгааны улмаас сахих шаардлагатай болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
7,Австрали улсад сурахаар явсан,гадаад улс руу шилжин ажиллахаар болсон
15,Ажил дуусгавар болсон,гэрээний хугацаа дууссан
15,Ажил дуусгавар болсон.,гэрээний хугацаа дууссан
9,Ажил солисон,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил солих,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил сольсон,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил хол,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил өөрчилсөн,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил өөрчлөгдсөн,нутаг дотроо шилжин ажиллахаар болсон
11,"Ажилаа солих, хэрэгцээ шаардлагатай болсон.",өөрийн хүсэлтээр
9,Ажилаа сольсон,нутаг дотроо шилжин ажиллахаар болсон
9,Ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
4,"Ажилд орсон захирлын Б59, ажлаас гарсан Б22 тушаал",халагдсан
9,Ажилд орсон тул болсон,нутаг дотроо шилжин ажиллахаар болсон
0,Ажилдаа орсон нярайн чөлөөтэй байж байгаад,ажиллаж байгаа
0,Ажилдаа эргэн орсон,ажиллаж байгаа
11,Ажиллах нөцөл таалагдаагүй,өөрийн хүсэлтээр
11,Ажилтаны хүсэлтийг үндэслэн,өөрийн хүсэлтээр
11,Ажилтны хүсэлтээр,өөрийн хүсэлтээр
11,Ажлаа солих сонирхолоор,өөрийн хүсэлтээр
4,Ажлаа хаяад хэл сураггүй алга болсон. 20 хоногийн дараа гарлаа өөрөө  гэдгээ утсаар ярьж хэлсэн,халагдсан
9,Ажлаа өөрчлөх,нутаг дотроо шилжин ажиллахаар болсон
9,Ажлаа өөрчлөх шаардлагаас,нутаг дотроо шилжин ажиллахаар болсон
11,Ажлаас чөлөөлөгдсөн. Өөрийн хү сэлтээр,өөрийн хүсэлтээр
4,Ажлаас чөлөөлөгдөв,халагдсан
11,Ажлийн байр хол.,өөрийн хүсэлтээр
9,Ажлын байраа сольсон,нутаг дотроо шилжин ажиллахаар болсон
4,Ажлын байрны цомхотголын улмаас ажлаас гарсан.,халагдсан
9,Ажлын нөхцөлөө өөрчлөх,нутаг дотроо шилжин ажиллахаар болсон
9,Ажлын урилга ирсэн,нутаг дотроо шилжин ажиллахаар болсон
11,Ажлын цаг их цалин бага,өөрийн хүсэлтээр
4,Ажлын цомогтгол,халагдсан
11,Ажлын шаардлагаар,өөрийн хүсэлтээр
14,Аймаг дотроо шилжин амьдрах болсон,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймаг руу шилжсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймаг шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв рүү гэр бүлээрээ шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв рүү шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв рүү шилжсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төвд ажиллахаар ирсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төвд шилжин ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төвийн сургуульд орох зорилгоор шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төврүү шилжиж ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төврүү шилжих болсон тул,хот суурин газар руу шилжин ажиллахаар болсон
4,Албан байгууллага татан буугдсан.,халагдсан
13,Албан тушаал ахисан,дэвшин ажиллахаар
13,Албан тушаал ахих,дэвшин ажиллахаар
13,Албан тушаал дэвшсэн,дэвшин ажиллахаар
13,Албан тушаал өөрчлөгдсөн,дэвшин ажиллахаар
4,Амаржаад эргэж ажилдаа ороогүй,халагдсан
10,Амаржсан эхийн оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
0,Амаржсаны амралтын чөлөө,ажиллаж байгаа
0,Амаржсаны хугацааны чөлөө авсан,ажиллаж байгаа
0,Амарсан,ажиллаж байгаа
7,Америк явсан,гадаад улс руу шилжин ажиллахаар болсон
5,Амьдралын шаардлагаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Амьдрах орчны нөхцөлөөс,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
6,Анагаах ухааны дээд сургуульд орох,мэргэжил дээшлүүлэхээр
5,Ар гэр,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэр аймагт шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэр бүл цөөн тул хотод ажиллах боломжгүй.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэр гачигдлаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэр шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн амьдралаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн асуудал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн асуудалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн асуудлаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн асуудлаар шилжих шаардлага гарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
11,Ар гэрийн асуудлын улмаас өөрийн хүсэлтээр чөлөөлөгдсөн,өөрийн хүсэлтээр
5,Ар гэрийн байршил,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн гачигдал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн гачигдалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн гачигдлаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн гачигдлаар хөдөө орон нутагт шилжих болсон.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн гачидал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн гачилдалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн нөхцөлөөс хамаарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шаардлагаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалдтгаан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалтгаан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалтгаанаар шилжиж нүүсэн.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалтгаанаар шилжин суурьших болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалтгаанны улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шалтгааны улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Ар гэрийн шилжилт хөдөлгөөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
13,Арга зүйч албан тушаалд шилжсэн,дэвшин ажиллахаар
13,Арга зүйч хийх болсон,дэвшин ажиллахаар
4,Арга зүйчийн ажилд ажиллахаар ажлаас чөлөөлөгдсөн.,халагдсан
13,Арга зүйчээр,дэвшин ажиллахаар
13,Арга зүйчээр ажилласан,дэвшин ажиллахаар
13,Арга зүйчээр ажиллах болсон,дэвшин ажиллахаар
13,Арга зүйчээр ажиллахаар болсон,дэвшин ажиллахаар
13,Арга зүйчээр дэвшсэн.,дэвшин ажиллахаар
13,Арга зүйчээр тушаал дэвшиж,дэвшин ажиллахаар
5,Архангай аймаг руу гэр бүлээ даган  шилжсэн.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
8,Архангай аймгийн төвд Олон улсын төсөл хөтөлбөрт ажиллах болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Архангай шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
6,Архангайн Багшийн сургуульд элссэн.,мэргэжил дээшлүүлэхээр
11,Ачаалал ихтэй,өөрийн хүсэлтээр
13,"БГД-57-р цэцэрлэгт эрхлэгчээр томилогдсон.
",дэвшин ажиллахаар
13,БГД-ийн 57-р цэцэрлэгт эрхлэгчээр томилогдсон.,дэвшин ажиллахаар
9,БЗД рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,БЗД-н 10-р цэцэрлэгрүү,нутаг дотроо шилжин ажиллахаар болсон
12,БИЕ ДАВХАР БОЛСОН,жирэмсний амралт
9,БНД 194 цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,БНД 241-р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,БНД ахмадын хороо,нутаг дотроо шилжин ажиллахаар болсон
9,БНД дүүрэгт шилжиж ирсэн,нутаг дотроо шилжин ажиллахаар болсон
9,БНД шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,БНД-ийн 241-р цэцэрлэгт арга зүйчээр ажиллах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
6,БНСУ д сурахаар явсан,мэргэжил дээшлүүлэхээр
9,БНСУ-д гэрээгээр ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
9,БНХКК орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Бага ангийн багшаар орох шалтгаанаар,нутаг дотроо шилжин ажиллахаар болсон
9,Бага боловсролын чиглэлээр ажиллах,нутаг дотроо шилжин ажиллахаар болсон
5,Бага насны хүүхдээ харах шаардлагатай болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Бага насны хүүхдээ харах шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Бага насны хүүхэд харах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Багануур шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Багануурт дүүрэгт шилжих болсон.,нутаг дотроо шилжин ажиллахаар болсон
0,Багш болсон,ажиллаж байгаа
9,Багшаар ажиллах,нутаг дотроо шилжин ажиллахаар болсон
13,Багшаар суралцаж багш мэргэжилтэй болсон,дэвшин ажиллахаар
13,Багшаар томилогдсон,дэвшин ажиллахаар
13,Багшаар томилсон,дэвшин ажиллахаар
6,Багшийн мэргэжил дээшлүүлэх,мэргэжил дээшлүүлэхээр
0,Багшийн мэргэжил эзэмшсэн,ажиллаж байгаа
11,Багшийн мэргэжлээрээ ажиллах болсон тул,өөрийн хүсэлтээр
10,Багшийн оронд ажиллаж байсан.,хүний оронд түр ажиллаж байсан
6,Багшийн сургуулийн бакалаврын сургалтанд сурахаар,мэргэжил дээшлүүлэхээр
6,Багшийн сургуульд сурхаар,мэргэжил дээшлүүлэхээр
4,Байгуулга хаагдсан,халагдсан
11,Байгууллага бүтцийн өөрчлөлтөнд орж өөрийн хүсэлтээр чөлөөлөгдсөн.,өөрийн хүсэлтээр
13,Байгууллага дотроо ажлын байр өөрчлөгдсөн,дэвшин ажиллахаар
13,Байгууллага дотроо өөр ажилд шилжсэн,дэвшин ажиллахаар
11,Байгууллага нүүсэн 3 дамжиж очдог болсон,өөрийн хүсэлтээр
4,Байгууллага татан буугдсан,халагдсан
4,Байгууллага хувьчлагдсан учир,халагдсан
5,Байранд орсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байрлах байргүй учир,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршил,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршил солигдсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршил сольсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршил хаяг өөрчлөгдсөн.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршил шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршил шалтгаанар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршлийн өөрчлөлт,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршлын шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Байршлын шалтгаанаар чөлөөлөгдсөн.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Батноров цэцэрлэгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Батцэнгэл сумын  нэгдэлд шилжиж   ажиллах    болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Батширээт сум шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Батширээт сумын цэцэрлэгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
5,Баян-Өлгий аймагруу нүүх болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Баяндэлгэр сум шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Баянхонгор аймаг руу шилжсэн.,нутаг дотроо шилжин ажиллахаар болсон
9,Баянхонгор аймагт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
0,Баянхонгор аймгийн төвд мэргэжлийн ажлаа хийхээр ирсэн.,ажиллаж байгаа
3,Бие өвдсөн,эрүүл мэндийн улмаас
3,Биеийн байдал,эрүүл мэндийн улмаас
3,Биеийн байдлаас,эрүүл мэндийн улмаас
3,Биеийн байдлаас...,эрүүл мэндийн улмаас
3,Биеийн байдлын улмаас,эрүүл мэндийн улмаас
6,Биеийн тамирын багшаар суралцах,мэргэжил дээшлүүлэхээр
3,Биеийн эрүүл мэндийн байдлын шалтгаанаар,эрүүл мэндийн улмаас
3,Биеэ эмчлүүлэх,эрүүл мэндийн улмаас
9,Биндэр сумын ЕБС -д шилжиэ ажилласан,нутаг дотроо шилжин ажиллахаар болсон
9,Боловсролын газар ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
5,Булган аймаг гэр бүлээрээ шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Булган аймгийн Хялганат тосгон шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Булган аймгийн төвд шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
13,Булган суманд менежерээр ажмлласан,дэвшин ажиллахаар
11,Бүл нэмж гэр бүлийнхээ хажууд байх,өөрийн хүсэлтээр
13,Бүлгийн  багшаар ажиллах болсон,дэвшин ажиллахаар
13,Бүлгийн  багшийн ажлыг  18  жил  хийсэн  2018-09-12 нд Арга  зүйчийн  ажилд томилогдсон,дэвшин ажиллахаар
13,Бүлгийн багш,дэвшин ажиллахаар
13,Бүлгийн багш болсон,дэвшин ажиллахаар
13,Бүлгийн багшаар ажиллах болсон,дэвшин ажиллахаар
13,Бүлгийн багшаар ажиллах хүсэлтэй,дэвшин ажиллахаар
13,Бүлгийн багшийн орон тоон дээр ажиллах,дэвшин ажиллахаар
4,Бүтцийн өөрчлөлт,халагдсан
4,"Бүтэц, орон тооны цомотгол",халагдсан
9,ГАА чандмань БДС-д шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
6,ГАДААДАД СУРАХ,мэргэжил дээшлүүлэхээр
5,ГЭр ойртсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
7,Гадаад орон руу амьдрахаар явсан,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад улс руу явах,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад улс руу явах болсон тул ажлаас гарсан,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад улсруу явсан,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад явах,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад явах ажилаар,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад явах болсон,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад явахаар ажлаасаа гарсан.,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад явсан,гадаад улс руу шилжин ажиллахаар болсон
7,Гадаад явсан.,гадаад улс руу шилжин ажиллахаар болсон
6,Гадаадад суралцах,мэргэжил дээшлүүлэхээр
6,Гадаадад сурах болсон,мэргэжил дээшлүүлэхээр
6,Гадаадад сурахаар,мэргэжил дээшлүүлэхээр
6,Гадагшаа сургалтанд явахаар болсон,мэргэжил дээшлүүлэхээр
6,Гадагшаа сургалтанд явахаар болсон учир,мэргэжил дээшлүүлэхээр
7,Гадагшаа явах болсон,гадаад улс руу шилжин ажиллахаар болсон
7,Гадагшаа явсан,гадаад улс руу шилжин ажиллахаар болсон
6,Гадна мэргэжил дээшлүүлэхээр явсан,мэргэжил дээшлүүлэхээр
0,"Галтай хүүхдийн зуслан, хүрэн булаг ХХК ажиллаж байсан",ажиллаж байгаа
0,Гараагүй,ажиллаж байгаа
4,Гарсан,халагдсан
5,Гачигдлаар Увс аймагт шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Говьсүмбэр аймаг шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Говьсүмбэр шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
11,Гэотээ ойр ажилд орох,өөрийн хүсэлтээр
5,Гэр  нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
11,Гэр бүийн хүнээ дагаж өөр орон нутаг руу шилжсэн,өөрийн хүсэлтээр
5,Гэр бүл аймгийн   төвд  шилжиж   ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
11,Гэр бүл зохиосон,өөрийн хүсэлтээр
5,Гэр бүл шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүл өөр газар шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлийн байдал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлийн байдалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлийн байдалтай холбоотой,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
11,Гэр бүлийн бизнес эрхлэх,өөрийн хүсэлтээр
11,Гэр бүлийн хүн БНД-т ажиллах болсон тул өөрийн хүсэлтээр ажлаас чөлөөлөгдсөн.,өөрийн хүсэлтээр
11,Гэр бүлийн хүн шилжин ажиллах шалтгаанаар,өөрийн хүсэлтээр
11,Гэр бүлийн хүний ажил шилжсэн учир,өөрийн хүсэлтээр
11,Гэр бүлийн хүний ажлын шаардлагаар,өөрийн хүсэлтээр
11,Гэр бүлийн хүний ажлын шаардлагаар.,өөрийн хүсэлтээр
11,Гэр бүлийн хүний нутагт шилжих,өөрийн хүсэлтээр
11,Гэр бүлийн хүнээ даган,өөрийн хүсэлтээр
5,Гэр бүлийн шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлийн шилшилт хөдөлгөөний улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээ дагаад орон нутагтаа ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээ дагаж нүүж шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээ даган шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
14,Гэр бүлээрээ Улаанбаатар хотруу шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
8,Гэр бүлээрээ Эрдэнэт хотод шилжиж ирсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
5,Гэр бүлээрээ шилжих болсон.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээрээ шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр маань Орхон сум руу нүүсэн учраас гэрээ дагаж Орхон сумын Худалдаа Бэлтгэлийн Анги руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Гэр нь Улаанбаатар хотод шилжиж ирсэн,нутаг дотроо шилжин ажиллахаар болсон
5,Гэр нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Гэр ойр цэцэрлэгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Гэр ойрхон газар ажилд орох,нутаг дотроо шилжин ажиллахаар болсон
9,Гэр ойрхон цэцэрлэгт,нутаг дотроо шилжин ажиллахаар болсон
14,Гэр улаанбаатарт суурьших болсон,хот суурин газар руу шилжин ажиллахаар болсон
