END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
11,Улсын сургуульд ажиллах сонирхолтой байсан,өөрийн хүсэлтээр
4,Ферм татан буугдсан,халагдсан
9,ХСЧТөв багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,ХУД -ийн 121-р цэцэрлэгт бүлгийн багш,нутаг дотроо шилжин ажиллахаар болсон
9,ХУД- ийн 121-р цэцэрлэгт арга зүйч,нутаг дотроо шилжин ажиллахаар болсон
9,ХУД-ийн 26 дугаар сургуульд сургалтын менежерээр шилжин ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
13,Хайрхан сумын ЕББДСургуулийн захирал,дэвшин ажиллахаар
9,Хан-Уул 46 цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
8,Ханх сум руу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Ханх сумруу,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Хархорин сумын 1-р цэцэрлэгт туслах багшаар ажилд орсон.,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Хархорин сцмын 1-р цэцэрлэгт ажилд орсон.,хөдөө орон нутаг руу шилжин ажиллахаар болсон
